"ДатаВремяСессии","КатегорияПосетителя","ВидыОбслуживания","ЭтапОбслуживания","ДатаВремяПосещения","ДатаВремяОперации","АптекаОрганизация","АптекаНомер","АптекаКатегоря","АптекаАдрес","АптекаОписание","ПровизорИмя","ПровизорТабельныйНомер","ПровизорПол","ПровизорВозраст","ПровизорОбразование","ПровизорКатегоря","ПровизорОписание","ПровизорНепрерывныйСтаж","ПровизорОбщийСтаж","Длительность"
2016-03-28 16:44:21,"","Rx -","04: Информация о применении",2016-02-23 11:15:41,2016-02-23 11:16:05,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,0.657
2016-03-28 16:44:21,"","Rx -","04: Информация о применении",2016-02-23 11:15:41,2016-02-23 11:16:06,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,40.14
2016-03-28 16:44:21,"","Rx -","06: Поиск на МХ",2016-02-23 11:15:41,2016-02-23 11:16:46,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,6.563
2016-03-28 16:44:21,"","Rx -","05: Поиск в БД",2016-02-23 11:15:41,2016-02-23 11:16:53,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,1.203
2016-03-28 16:44:21,"","Rx -","01: Обращение к провизору",2016-02-23 11:15:41,2016-02-23 11:16:54,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,0.437
2016-03-28 16:44:21,"","Rx -","05: Поиск в БД",2016-02-23 11:15:41,2016-02-23 11:16:54,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,8.86
2016-03-28 16:44:21,"","Rx -","18b: Расчеты (безналичные)",2016-02-23 11:15:41,2016-02-23 11:17:03,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,59.281
2016-03-28 16:44:21,"E","Rx -","Окончание обслуживания",2016-02-23 11:15:41,2016-02-23 11:18:03,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,NA
2016-03-28 16:44:21,"","","01: Обращение к провизору",2016-02-23 11:18:07,2016-02-23 11:18:07,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,5.25
2016-03-28 16:44:21,"","RxL","02: Фармэкспертиза рецепта",2016-02-23 11:18:07,2016-02-23 11:18:12,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,16.735
2016-03-28 16:44:21,"","RxL","08: Оформление отрывных корешков",2016-02-23 11:18:07,2016-02-23 11:18:29,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,151.703
2016-03-28 16:44:21,"E","RxL","04: Информация о применении",2016-02-23 11:18:07,2016-02-23 11:21:00,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,10.937
2016-03-28 16:44:21,"E","RxL","05: Поиск в БД",2016-02-23 11:18:07,2016-02-23 11:21:11,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,9.516
2016-03-28 16:44:21,"E","RxL","06: Поиск на МХ",2016-02-23 11:18:07,2016-02-23 11:21:21,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,2957414.672
2016-03-28 16:44:21,"E","RxL","07: Таксировка",2016-02-23 11:18:07,2016-03-28 16:51:36,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,5
2016-03-28 16:44:21,"E","RxL","07: Таксировка",2016-02-23 11:18:07,2016-03-28 16:51:41,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,-2957386.75
2016-03-28 16:44:21,"E","RxL","06: Поиск на МХ",2016-02-23 11:18:07,2016-02-23 11:21:54,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,0.656
2016-03-28 16:44:21,"E","RxL","06: Поиск на МХ",2016-02-23 11:18:07,2016-02-23 11:21:54,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,67.484
2016-03-28 16:44:21,"E","RxL","02: Фармэкспертиза рецепта",2016-02-23 11:18:07,2016-02-23 11:23:02,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,0.438
2016-03-28 16:44:21,"E","RxL","02: Фармэкспертиза рецепта",2016-02-23 11:18:07,2016-02-23 11:23:02,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,91
2016-03-28 16:44:21,"E","RxL","Окончание обслуживания",2016-02-23 11:18:07,2016-02-23 11:24:33,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,NA
2016-03-28 16:44:21,"","","01: Обращение к провизору",2016-02-23 11:25:25,2016-02-23 11:25:25,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,7.109
2016-03-28 16:44:21,"","Rx1","02: Фармэкспертиза рецепта",2016-02-23 11:25:25,2016-02-23 11:25:32,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,2957418.11
2016-03-28 16:44:21,"","Rx1","07: Таксировка",2016-02-23 11:25:25,2016-03-28 16:55:51,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,-2957218.938
2016-03-28 16:44:21,"","Rx1","18b: Расчеты (безналичные)",2016-02-23 11:25:25,2016-02-23 11:28:52,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,67.922
2016-03-28 16:44:21,"","Rx1","Окончание обслуживания",2016-02-23 11:25:25,2016-02-23 11:29:59,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,NA
